name th act on_time
Lot_1 3799.65 47.72 98.00
Lot_2 3795.00 49.62 98.16
Lot_3 3765.45 53.40 98.11
Lot_4 3900.10 30.02 98.29
Lot_5 3943.80 21.99 96.93
Lot_6 3903.55 29.31 68.67
Lot_7 3882.15 32.48 99.93
Lot_8 3866.30 35.68 97.88
Lot_9 3843.55 38.70 68.21
Lot_10 3861.40 37.95 98.32
HotLot_1 100.40 30.30 73.28
HotLot_2 99.95 32.66 75.67
HotLot_3 99.95 34.71 76.34
HotLot_4 102.00 20.23 81.00
HotLot_5 102.95 14.37 83.25
HotLot_6 102.00 18.02 85.96
HotLot_7 101.95 21.25 79.09
HotLot_8 101.60 22.81 78.98
HotLot_9 101.60 23.56 77.44
HotLot_10 101.00 24.81 76.63
